timestamp,reportingGroup,locationName,value,unit
01/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,14,16,kWh
02/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,75999999999999,kWh
03/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,39,43,kWh
04/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,37,99999999999999,kWh
05/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,36,60000000000001,kWh
06/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,37,45000000000001,kWh
07/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,14999999999999,kWh
08/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7700000000000001,kWh
09/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,31,3,kWh
10/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,43,02,kWh
11/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,37,28,kWh
12/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,34,760000000000005,kWh
13/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,38,70000000000001,kWh
14/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,50,12999999999999,kWh
15/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7600000000000001,kWh
16/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,38,56000000000001,kWh
17/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,34,980000000000004,kWh
18/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,10999999999999,kWh
19/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,07999999999999,kWh
20/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,54,23,kWh
21/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,52,03,kWh
22/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7600000000000002,kWh
23/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,629999999999995,kWh
24/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,55,3,kWh
25/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,59,64999999999999,kWh
26/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,019999999999996,kWh
27/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,59,52999999999998,kWh
28/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,61,109999999999985,kWh
29/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7300000000000002,kWh
30/09/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,39,199999999999996,kWh
01/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,529999999999994,kWh
02/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,48,66,kWh
03/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,45000000000001,kWh
04/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,64,89,kWh
05/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,87,72999999999998,kWh
06/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,63,14,kWh
07/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,29,43000000000001,kWh
08/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,39,69000000000001,kWh
09/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,92999999999999,kWh
10/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,269999999999996,kWh
11/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,44,44999999999998,kWh
12/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,69999999999999,kWh
13/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7300000000000002,kWh
14/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,24,660000000000007,kWh
15/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,2,kWh
16/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,39,21000000000001,kWh
17/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,35,84,kWh
18/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,09,kWh
19/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,41,kWh
20/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7600000000000002,kWh
21/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,26,100000000000005,kWh
22/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,36,36,kWh
23/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,73999999999999,kWh
24/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,42,11,kWh
25/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,40,669999999999995,kWh
26/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,54,33,kWh
27/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,8200000000000003,kWh
28/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,19999999999999,kWh
29/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,97,kWh
30/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,64,5,kWh
31/10/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,63,139999999999986,kWh
01/11/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,13999999999999,kWh
02/11/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,2,1700000000000004,kWh
03/11/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,50,18,kWh
04/11/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,12000000000001,kWh
